Date,Time,Tosser,Toss #,Start,End: H,End: T,,,Time,Tosser,Toss #,Start,End: H,End: T
,,,410,H,1,,,,,,460,T,1,
,,,411,H,,1,,,,,461,T,1,
,,,412,H,1,,,,,,462,T,,1
,,,413,H,1,,,,,,463,T,1,
,,,414,H,1,,,,,,464,T,,1
,,,415,H,1,,,,,,465,T,,1
,,,416,H,,1,,,,,466,T,1,
,,,417,H,,1,,,,,467,T,1,
,,,418,H,1,,,,,,468,T,,1
,,,419,H,,1,,,,,469,T,,1
,,,420,H,,1,,,,,470,T,,1
,,,421,H,,1,,,,,471,T,1,
,,,422,H,,1,,,,,472,T,1,
,,,423,H,1,,,,,,473,T,1,
,,,424,H,,1,,,,,474,T,,1
,,,425,H,1,,,,,,475,T,,1
,,,426,H,,1,,,,,476,T,,1
,,,427,H,,1,,,,,477,T,,1
,,,428,H,,1,,,,,478,T,,1
,,,429,H,,1,,,,,479,T,1,
,,,430,H,,1,,,,,480,T,,1
,,,431,H,1,,,,,,481,T,1,
,,,432,H,1,,,,,,482,T,1,
,,,433,H,1,,,,,,483,T,,1
,,,434,H,,1,,,,,484,T,,1
,,,435,H,1,,,,,,485,T,1,
,,,436,H,1,,,,,,486,T,,1
,,,437,H,,1,,,,,487,T,1,
,,,438,H,,1,,,,,488,T,1,
,,,439,H,1,,,,,,489,T,,1
,,,440,H,,1,,,,,490,T,1,
,,,441,H,1,,,,,,491,T,,1
,,,442,H,1,,,,,,492,T,,1
,,,443,H,,1,,,,,493,T,1,
,,,444,H,,1,,,,,494,T,1,
,,,445,H,1,,,,,,495,T,,1
,,,446,H,,1,,,,,496,T,,1
,,,447,H,1,,,,,,497,T,,1
,,,448,H,,1,,,,,498,T,1,
,,,449,H,1,,,,,,499,T,,1
,,,450,H,1,,,,,,500,T,1,
,,,,,,,,,,,,,,
,Janet,8:28pm,501,H,,1,,,8:37pm,Priscilla,551,T,1,
,,,502,H,1,,,,,,552,T,,1
,,,503,H,1,,,,,,553,T,,1
,,,504,H,1,,,,,,554,T,1,
,,,505,H,,1,,,,,555,T,,1
,,,506,H,,1,,,,,556,T,,1
,,,507,H,1,,,,,,557,T,,1
,,,508,H,1,,,,,,558,T,1,
,,,509,H,1,,,,,,559,T,,1
,,,510,H,1,,,,,,560,T,1,
,,,511,H,1,,,,,,561,T,1,
,,,512,H,1,,,,,,562,T,1,
,,,513,H,,1,,,,,563,T,,1
,,,514,H,1,,,,,,564,T,1,
,,,515,H,,1,,,,,565,T,,1
,,,516,H,,1,,,,,566,T,1,
,,,517,H,1,,,,,,567,T,1,
,,,518,H,1,,,,,,568,T,1,
,,,519,H,,1,,,,,569,T,,1
,,,520,H,1,,,,,,570,T,,1
,,,521,H,1,,,,,,571,T,1,
,,,522,H,,1,,,,,572,T,1,
,,,523,H,,1,,,,,573,T,,1
,,,524,H,1,,,,,,574,T,,1
,,,525,H,1,,,,,,575,T,,1
,,,526,H,1,,,,,,576,T,1,
,,,527,H,1,,,,,,577,T,,1
,,,528,H,,1,,,,,578,T,1,
,,,529,H,1,,,,,,579,T,1,
,,,530,H,1,,,,,,580,T,,1
,,,531,H,1,,,,,,581,T,,1
,,,532,H,,1,,,,,582,T,,1
,,,533,H,,1,,,,,583,T,1,
,,,534,H,1,,,,,,584,T,1,
,,,535,H,1,,,,,,585,T,,1
,,,536,H,1,,,,,,586,T,1,
,,,537,H,1,,,,,,587,T,,1
,,,538,H,,1,,,,,588,T,,1
,,,539,H,1,,,,,,589,T,1,
,,,540,H,,1,,,,,590,T,,1
,,,541,H,1,,,,,,591,T,1,
,,,542,H,1,,,,,,592,T,1,
,,,543,H,1,,,,,,593,T,1,
,,,544,H,1,,,,,,594,T,1,
,,,545,H,,1,,,,,595,T,1,
